image_name,component_location,component_type,text_on_component,logo
s2_back.tif,"{""name"":""rect"",""x"":1830,""y"":1053,""width"":177,""height"":251}",capacitors,,no
s2_back.tif,"{""name"":""rect"",""x"":2505,""y"":1079,""width"":233,""height"":265}",diodes,SMBJ;10CA,no
s2_back.tif,"{""name"":""rect"",""x"":2485,""y"":2063,""width"":205,""height"":233}",diodes,SMBJ;6CA,no
s2_back.tif,"{""name"":""rect"",""x"":1461,""y"":2379,""width"":53,""height"":90}",resistors,331,no
s2_back.tif,"{""name"":""rect"",""x"":1888,""y"":3817,""width"":247,""height"":175}",capacitors,,no
s2_back.tif,"{""name"":""rect"",""x"":3557,""y"":1173,""width"":60,""height"":92}",resistors,101,no
s2_back.tif,"{""name"":""rect"",""x"":3453,""y"":1173,""width"":60,""height"":92}",resistors,101,no
s2_back.tif,"{""name"":""rect"",""x"":3321,""y"":1685,""width"":97,""height"":62}",resistors,6R8,no
s2_back.tif,"{""name"":""rect"",""x"":3328,""y"":1577,""width"":90,""height"":55}",resistors,6R8,no
s2_back.tif,"{""name"":""rect"",""x"":3324,""y"":1800,""width"":97,""height"":53}",capacitors,,no
s2_back.tif,"{""name"":""rect"",""x"":3326,""y"":1943,""width"":92,""height"":51}",resistors,153,no
s2_back.tif,"{""name"":""rect"",""x"":3683,""y"":1883,""width"":786,""height"":786}",ICs,CONEXANT;Bt8370KPF;28370-20;BM6450.2;9949 MEXICO,yes
s2_back.tif,"{""name"":""rect"",""x"":3819,""y"":823,""width"":1037,""height"":572}",ICs,IDT;71V016;SA12PH;H0403P,no
s2_back.tif,"{""name"":""rect"",""x"":5066,""y"":1507,""width"":97,""height"":53}",resistors,331,no
s2_back.tif,"{""name"":""rect"",""x"":6535,""y"":1909,""width"":53,""height"":92}",resistors,103,no
s2_back.tif,"{""name"":""rect"",""x"":5064,""y"":1683,""width"":94,""height"":55}",resistors,103,no
s2_back.tif,"{""name"":""rect"",""x"":5062,""y"":1820,""width"":94,""height"":55}",resistors,103,no
s2_back.tif,"{""name"":""rect"",""x"":5941,""y"":3936,""width"":94,""height"":55}",resistors,103,no
s2_back.tif,"{""name"":""rect"",""x"":5705,""y"":1004,""width"":94,""height"":55}",resistors,103,no
s2_back.tif,"{""name"":""rect"",""x"":4836,""y"":2054,""width"":53,""height"":94}",resistors,103,no
s2_back.tif,"{""name"":""rect"",""x"":4833,""y"":1662,""width"":55,""height"":94}",resistors,222,no
s2_back.tif,"{""name"":""rect"",""x"":4833,""y"":2473,""width"":58,""height"":97}",capacitors,,no
s2_back.tif,"{""name"":""rect"",""x"":4833,""y"":2826,""width"":55,""height"":90}",capacitors,,no
s2_back.tif,"{""name"":""rect"",""x"":4833,""y"":2266,""width"":53,""height"":92}",resistors,103,no
s2_back.tif,"{""name"":""rect"",""x"":5255,""y"":2171,""width"":765,""height"":765}",ICs,XC68LC302 U16B;1F81S;HHHK9930,yes
s2_back.tif,"{""name"":""rect"",""x"":5276,""y"":1651,""width"":94,""height"":55}",resistors,103,no
s2_back.tif,"{""name"":""rect"",""x"":5587,""y"":3368,""width"":94,""height"":55}",resistors,103,no
s2_back.tif,"{""name"":""rect"",""x"":5131,""y"":3552,""width"":94,""height"":55}",resistors,103,no
s2_back.tif,"{""name"":""rect"",""x"":5693,""y"":3937,""width"":94,""height"":55}",resistors,103,no
s2_back.tif,"{""name"":""rect"",""x"":5806,""y"":3369,""width"":92,""height"":55}",resistors,470,no
s2_back.tif,"{""name"":""rect"",""x"":5663,""y"":3722,""width"":92,""height"":55}",resistors,470,no
s2_back.tif,"{""name"":""rect"",""x"":6013,""y"":3517,""width"":94,""height"":58}",resistors,222,no
s2_back.tif,"{""name"":""rect"",""x"":5942,""y"":3720,""width"":92,""height"":53}",capacitors,,no
s2_back.tif,"{""name"":""rect"",""x"":4835,""y"":3146,""width"":53,""height"":92}",resistors,103,no
s2_back.tif,"{""name"":""rect"",""x"":6349,""y"":3108,""width"":53,""height"":92}",resistors,103,no
s2_back.tif,"{""name"":""rect"",""x"":6357,""y"":2862,""width"":53,""height"":92}",resistors,103,no
s2_back.tif,"{""name"":""rect"",""x"":6357,""y"":1908,""width"":53,""height"":92}",resistors,103,no
s2_back.tif,"{""name"":""rect"",""x"":6354,""y"":2510,""width"":53,""height"":92}",capacitors,,no
s2_back.tif,"{""name"":""rect"",""x"":6534,""y"":2471,""width"":55,""height"":94}",capacitors,,no
s2_back.tif,"{""name"":""rect"",""x"":6543,""y"":2659,""width"":97,""height"":171}",ICs,,no
s2_back.tif,"{""name"":""rect"",""x"":6495,""y"":1623,""width"":171,""height"":99}",ICs,,no
s2_back.tif,"{""name"":""rect"",""x"":5478,""y"":1821,""width"":94,""height"":55}",resistors,103,no
s2_back.tif,"{""name"":""rect"",""x"":5703,""y"":1120,""width"":94,""height"":55}",resistors,103,no
s2_back.tif,"{""name"":""rect"",""x"":5410,""y"":1328,""width"":104,""height"":62}",resistors,103,no
s2_back.tif,"{""name"":""rect"",""x"":5704,""y"":1331,""width"":94,""height"":55}",resistors,103,no
s2_back.tif,"{""name"":""rect"",""x"":5702,""y"":1219,""width"":94,""height"":55}",resistors,103,no
s2_back.tif,"{""name"":""rect"",""x"":5912,""y"":1678,""width"":92,""height"":55}",capacitors,,no
s2_back.tif,"{""name"":""rect"",""x"":6009,""y"":3365,""width"":100,""height"":61}",capacitors,,no
