image_name,component_location,component_type,text_on_component,logo
s2_front.tif,"{""name"":""rect"",""x"":1782,""y"":1409,""width"":303,""height"":179}",capacitors,226C;U0412,no
s2_front.tif,"{""name"":""rect"",""x"":2424,""y"":1232,""width"":197,""height"":262}",ICs,,no
s2_front.tif,"{""name"":""rect"",""x"":2958,""y"":1036,""width"":213,""height"":491}",ICs,PI74FCT;244TQA;0032BZG,yes
s2_front.tif,"{""name"":""rect"",""x"":4321,""y"":1899,""width"":88,""height"":50}",resistors,103,no
s2_front.tif,"{""name"":""rect"",""x"":3381,""y"":1118,""width"":88,""height"":50}",resistors,103,no
s2_front.tif,"{""name"":""rect"",""x"":4704,""y"":2848,""width"":51,""height"":89}",resistors,103,no
s2_front.tif,"{""name"":""rect"",""x"":3732,""y"":1126,""width"":91,""height"":155}",diodes,,no
s2_front.tif,"{""name"":""rect"",""x"":3732,""y"":877,""width"":91,""height"":155}",diodes,,no
s2_front.tif,"{""name"":""rect"",""x"":4016,""y"":902,""width"":91,""height"":56}",capacitors,,no
s2_front.tif,"{""name"":""rect"",""x"":4003,""y"":1197,""width"":115,""height"":76}",resistors,103,no
s2_front.tif,"{""name"":""rect"",""x"":4003,""y"":1060,""width"":115,""height"":80}",resistors,103,no
s2_front.tif,"{""name"":""rect"",""x"":4007,""y"":1348,""width"":98,""height"":53}",capacitors,,no
s2_front.tif,"{""name"":""rect"",""x"":3375,""y"":1337,""width"":88,""height"":50}",resistors,103,no
s2_front.tif,"{""name"":""rect"",""x"":3377,""y"":1223,""width"":88,""height"":50}",resistors,103,no
s2_front.tif,"{""name"":""rect"",""x"":4236,""y"":1026,""width"":118,""height"":78}",resistors,101,no
s2_front.tif,"{""name"":""rect"",""x"":4240,""y"":891,""width"":118,""height"":78}",resistors,101,no
s2_front.tif,"{""name"":""rect"",""x"":4245,""y"":1155,""width"":96,""height"":167}",diodes,A7W53,no
s2_front.tif,"{""name"":""rect"",""x"":4739,""y"":899,""width"":73,""height"":160}",diodes,A7W53,no
s2_front.tif,"{""name"":""rect"",""x"":4500,""y"":1162,""width"":73,""height"":160}",diodes,A7W53,no
s2_front.tif,"{""name"":""rect"",""x"":4500,""y"":880,""width"":73,""height"":160}",diodes,A7W53,no
s2_front.tif,"{""name"":""rect"",""x"":4722,""y"":1139,""width"":118,""height"":80}",resistors,121,no
s2_front.tif,"{""name"":""rect"",""x"":4727,""y"":1273,""width"":113,""height"":80}",resistors,510,no
s2_front.tif,"{""name"":""rect"",""x"":4108,""y"":1657,""width"":88,""height"":50}",resistors,103,no
s2_front.tif,"{""name"":""rect"",""x"":4511,""y"":1899,""width"":89,""height"":56}",resistors,470,no
s2_front.tif,"{""name"":""rect"",""x"":4103,""y"":1895,""width"":96,""height"":53}",capacitors,,no
s2_front.tif,"{""name"":""rect"",""x"":4705,""y"":2637,""width"":53,""height"":89}",resistors,222,no
s2_front.tif,"{""name"":""rect"",""x"":3898,""y"":1797,""width"":91,""height"":56}",resistors,222,no
